'dc52ff18,arinamaros,2023-05-05 20:13:40,Merge branch 'main' of https://github.com/TUDublinBlanchBusinessIT/final-year-project-part-2-eventdream'
'e3db5049,arinamaros,2023-05-05 20:13:29,css'
'f70889c0,Shalini,2023-05-05 20:13:24,changed gradient'
'64de2958,Shalini,2023-05-05 20:06:44,changed gradient background'
'63be8fb4,arinamaros,2023-05-05 19:46:03,css'
'5158c413,arinamaros,2023-05-05 19:40:11,Merge branch 'main' of https://github.com/TUDublinBlanchBusinessIT/final-year-project-part-2-eventdream'
'f90b069a,arinamaros,2023-05-05 19:39:45,css'
'a6d2feb8,Shalini,2023-05-05 19:23:35,more'
'36b39cd8,Shalini,2023-05-05 19:17:41,created add to cart button for custom menus'
'dc880964,Shalini,2023-05-05 19:11:37,created the delete button for custom menu'
'5b25c706,Shalini,2023-05-05 18:58:10,created back and update dishes buttons'
'19c3d96a,Shalini,2023-05-05 18:53:34,Merge branch 'main' of https://github.com/TUDublinBlanchBusinessIT/final-year-project-part-2-eventdream'
'54a719f9,Shalini,2023-05-05 18:53:23,made changes to custshow custom menu'
'c9a5eafc,arinamaros,2023-05-05 18:42:08,Merge branch 'main' of https://github.com/TUDublinBlanchBusinessIT/final-year-project-part-2-eventdream'
'726e9a69,arinamaros,2023-05-05 18:41:55,backgroud color'
'1ee3bde7,Shalini,2023-05-05 18:27:43,changed custshow custom menu'
'4f6255b3,Shalini,2023-05-05 17:38:15,changing gradient background'
'e4131a44,Shalini,2023-05-05 16:57:52,made more changes to footer'
'72153225,Shalini,2023-05-05 16:38:20,made changes'
'4500263f,Shalini,2023-05-05 16:37:44,made changes'
'd1cb2dc4,arinamaros,2023-05-05 16:34:07,footer'
'9b8088b3,arinamaros,2023-05-05 16:20:02,css'
'd3e5bc88,Shalini,2023-05-05 16:18:07,Merge branch 'main' of https://github.com/TUDublinBlanchBusinessIT/final-year-project-part-2-eventdream'
'89678303,Shalini,2023-05-05 16:17:51,made background gradient'
'e6fd5519,arinamaros,2023-05-05 15:38:54,Merge branch 'main' of https://github.com/TUDublinBlanchBusinessIT/final-year-project-part-2-eventdream'
'b996598e,arinamaros,2023-05-05 15:38:44,css'
'253a3e0f,Shalini,2023-05-05 15:38:38,fixed errors in footer'
'9bf148f3,Shalini,2023-05-05 15:33:12,fixed the icons and spaces and sizes'
'6d7c26c2,Shalini,2023-05-05 15:32:43,fixed the icons and spaces and sizes'
'238c9a17,arinamaros,2023-05-05 15:25:12,footer'
'ff4ff8ae,arinamaros,2023-05-05 15:21:20,Merge branch 'main' of https://github.com/TUDublinBlanchBusinessIT/final-year-project-part-2-eventdream'
'63313dfa,arinamaros,2023-05-05 15:21:04,css'
'a760b8aa,Shalini,2023-05-05 15:18:45,Merge branch 'main' of https://github.com/TUDublinBlanchBusinessIT/final-year-project-part-2-eventdream'
'50477192,Shalini,2023-05-05 15:18:15,added in footer icons for search email phone location and aligned address'
'bfe3df6d,arinamaros,2023-05-05 15:04:43,css'
'dc13c2b1,arinamaros,2023-05-05 14:37:31,Merge branch 'main' of https://github.com/TUDublinBlanchBusinessIT/final-year-project-part-2-eventdream'
'bb13d68e,arinamaros,2023-05-05 14:37:17,colors'
'c4441d86,Shalini,2023-05-05 14:33:12,changed the location and copyright'
'9a435ade,Shalini,2023-05-05 14:23:12,made footer changes'
'10b00197,Shalini,2023-05-05 13:44:26,made social network icons bigger'
'b942fe6e,Shalini,2023-05-05 13:41:09,created the contact column heading'
'8c32e4f7,Shalini,2023-05-05 13:29:08,removed text decoration or underlines for route links'
'155ee238,Shalini,2023-05-05 13:26:52,added twitter link for icon'
